ijcnn1	6.54499	0.29903	0.98429
pendigits	5.09947	0.01973	0.96341
letter	1.28716	0.01494	0.91560
connect-4	7.41304	0.12822	0.70884
covtype	2.36065	0.19962	0.64218
susy	58.52691	0.56544	0.80312
higgs	521.10714	2.63754	0.74947
usps	8.68714	0.03788	0.94320
mnist	229.23101	0.67758	0.98350
fashion mnist	32.76781	0.09483	0.87020
